email,password_hash,role,full_name,gender
sokha.chan1@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chan Sokha,male
sokha.lim2@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lim Sokha,female
sokha.ouk3@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ouk Sokha,male
sokha.touch4@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Touch Sokha,female
sokha.phan5@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Phan Sokha,male
sokha.suon6@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Suon Sokha,female
sokha.heng7@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Heng Sokha,male
sokha.lay8@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lay Sokha,female
sokha.kim9@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Kim Sokha,male
sokha.ros10@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ros Sokha,female
sokha.meas11@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Meas Sokha,male
sokha.chhay12@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chhay Sokha,female
sokha.sok13@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Sok Sokha,male
sokha.pen14@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Pen Sokha,female
sreynang.chan15@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chan Sreynang,male
sreynang.lim16@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lim Sreynang,female
sreynang.ouk17@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ouk Sreynang,male
sreynang.touch18@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Touch Sreynang,female
sreynang.phan19@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Phan Sreynang,male
