"student_code","full_name","class_name","gender","dob","email","login_password","current_address"
"CMS100001","Sok Dara","7A","male","2013-01-01","sok.dara.7a@school.edu","dara01012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100002","Chan Dara","7B","female","2013-02-02","chan.dara.7b@school.edu","dara02022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100003","Lim Dara","7C","male","2013-03-03","lim.dara.7c@school.edu","dara03032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100004","Keo Dara","7D","female","2013-04-04","keo.dara.7d@school.edu","dara04042013","Village 04 7D Preaek Pra Kampot"
"CMS100005","Phan Dara","7E","male","2013-05-05","phan.dara.7e@school.edu","dara05052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100006","Meas Dara","7F","female","2013-06-06","meas.dara.7f@school.edu","dara06062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100007","Ouk Dara","7A","male","2013-07-07","ouk.dara.7a@school.edu","dara07072013","Village 07 7A Tuek Thla Takeo"
"CMS100008","Chhim Dara","7B","female","2013-08-08","chhim.dara.7b@school.edu","dara08082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100009","Yin Dara","7C","male","2013-09-09","yin.dara.7c@school.edu","dara09092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100010","Touch Dara","7D","female","2013-10-10","touch.dara.7d@school.edu","dara10102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100011","Ngov Dara","7E","male","2013-11-11","ngov.dara.7e@school.edu","dara11112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100012","Suon Dara","7F","female","2013-12-12","suon.dara.7f@school.edu","dara12122013","Village 04 7F Preaek Pra Kampot"
"CMS100013","Prak Dara","7A","male","2013-01-13","prak.dara.7a@school.edu","dara13012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100014","Kim Dara","7B","female","2013-02-14","kim.dara.7b@school.edu","dara14022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100015","Chhay Dara","7C","male","2013-03-15","chhay.dara.7c@school.edu","dara15032013","Village 07 7C Tuek Thla Takeo"
"CMS100016","Nou Dara","7D","female","2013-04-16","nou.dara.7d@school.edu","dara16042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100017","Heng Dara","7E","male","2013-05-17","heng.dara.7e@school.edu","dara17052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100018","Pen Dara","7F","female","2013-06-18","pen.dara.7f@school.edu","dara18062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100019","Sam Dara","7A","male","2013-07-19","sam.dara.7a@school.edu","dara19072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100020","Korng Dara","7B","female","2013-08-20","korng.dara.7b@school.edu","dara20082013","Village 04 7B Preaek Pra Kampot"
"CMS100021","Ros Dara","7C","male","2013-09-21","ros.dara.7c@school.edu","dara21092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100022","Chin Dara","7D","female","2013-10-22","chin.dara.7d@school.edu","dara22102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100023","Mao Dara","7E","male","2013-11-23","mao.dara.7e@school.edu","dara23112013","Village 07 7E Tuek Thla Takeo"
"CMS100024","Lay Dara","7F","female","2013-12-24","lay.dara.7f@school.edu","dara24122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100025","Vannak Dara","7A","male","2013-01-25","vannak.dara.7a@school.edu","dara25012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100026","Sreypov Dara","7B","female","2013-02-26","sreypov.dara.7b@school.edu","dara26022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100027","Rith Dara","7C","male","2013-03-27","rith.dara.7c@school.edu","dara27032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100028","Borey Dara","7D","female","2013-04-28","borey.dara.7d@school.edu","dara28042013","Village 04 7D Preaek Pra Kampot"
"CMS100029","Visal Dara","7E","male","2013-05-01","visal.dara.7e@school.edu","dara01052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100030","Malis Dara","7F","female","2013-06-02","malis.dara.7f@school.edu","dara02062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100031","Rattanak Dara","7A","male","2013-07-03","rattanak.dara.7a@school.edu","dara03072013","Village 07 7A Tuek Thla Takeo"
"CMS100032","Sothea Dara","7B","female","2013-08-04","sothea.dara.7b@school.edu","dara04082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100033","Sok Monineath","7C","male","2013-09-05","sok.monineath.7c@school.edu","monineath05092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100034","Chan Monineath","7D","female","2013-10-06","chan.monineath.7d@school.edu","monineath06102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100035","Lim Monineath","7E","male","2013-11-07","lim.monineath.7e@school.edu","monineath07112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100036","Keo Monineath","7F","female","2013-12-08","keo.monineath.7f@school.edu","monineath08122013","Village 04 7F Preaek Pra Kampot"
"CMS100037","Phan Monineath","7A","male","2013-01-09","phan.monineath.7a@school.edu","monineath09012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100038","Meas Monineath","7B","female","2013-02-10","meas.monineath.7b@school.edu","monineath10022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100039","Ouk Monineath","7C","male","2013-03-11","ouk.monineath.7c@school.edu","monineath11032013","Village 07 7C Tuek Thla Takeo"
"CMS100040","Chhim Monineath","7D","female","2013-04-12","chhim.monineath.7d@school.edu","monineath12042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100041","Yin Monineath","7E","male","2013-05-13","yin.monineath.7e@school.edu","monineath13052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100042","Touch Monineath","7F","female","2013-06-14","touch.monineath.7f@school.edu","monineath14062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100043","Ngov Monineath","7A","male","2013-07-15","ngov.monineath.7a@school.edu","monineath15072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100044","Suon Monineath","7B","female","2013-08-16","suon.monineath.7b@school.edu","monineath16082013","Village 04 7B Preaek Pra Kampot"
"CMS100045","Prak Monineath","7C","male","2013-09-17","prak.monineath.7c@school.edu","monineath17092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100046","Kim Monineath","7D","female","2013-10-18","kim.monineath.7d@school.edu","monineath18102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100047","Chhay Monineath","7E","male","2013-11-19","chhay.monineath.7e@school.edu","monineath19112013","Village 07 7E Tuek Thla Takeo"
"CMS100048","Nou Monineath","7F","female","2013-12-20","nou.monineath.7f@school.edu","monineath20122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100049","Heng Monineath","7A","male","2013-01-21","heng.monineath.7a@school.edu","monineath21012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100050","Pen Monineath","7B","female","2013-02-22","pen.monineath.7b@school.edu","monineath22022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100051","Sam Monineath","7C","male","2013-03-23","sam.monineath.7c@school.edu","monineath23032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100052","Korng Monineath","7D","female","2013-04-24","korng.monineath.7d@school.edu","monineath24042013","Village 04 7D Preaek Pra Kampot"
"CMS100053","Ros Monineath","7E","male","2013-05-25","ros.monineath.7e@school.edu","monineath25052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100054","Chin Monineath","7F","female","2013-06-26","chin.monineath.7f@school.edu","monineath26062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100055","Mao Monineath","7A","male","2013-07-27","mao.monineath.7a@school.edu","monineath27072013","Village 07 7A Tuek Thla Takeo"
"CMS100056","Lay Monineath","7B","female","2013-08-28","lay.monineath.7b@school.edu","monineath28082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100057","Vannak Monineath","7C","male","2013-09-01","vannak.monineath.7c@school.edu","monineath01092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100058","Sreypov Monineath","7D","female","2013-10-02","sreypov.monineath.7d@school.edu","monineath02102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100059","Rith Monineath","7E","male","2013-11-03","rith.monineath.7e@school.edu","monineath03112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100060","Borey Monineath","7F","female","2013-12-04","borey.monineath.7f@school.edu","monineath04122013","Village 04 7F Preaek Pra Kampot"
"CMS100061","Visal Monineath","7A","male","2013-01-05","visal.monineath.7a@school.edu","monineath05012013","Village 05 7A Ta Khmau Phnom Penh"
