"email","password_hash","role","full_name","gender","student_code"
"sok.dara.7a@school.edu","$2a$10$tHa08BXz.FSK0nFmZwD.geeACoyX0thHWU53AK/d9eZVY8Bbyn12q","student","Sok Dara","male","CMS100001"
"chan.dara.7b@school.edu","$2a$10$BnY4Fp0cMqik9nX9xfrn1uJGzagQZ./sxlb8VS3lVnBXyHdg/VVLG","student","Chan Dara","female","CMS100002"
"lim.dara.7c@school.edu","$2a$10$oNMBcgU8gwpXj0KbUiaTRufLwIC9Q9bJuFPGE79dcp/P3qTlP4LsK","student","Lim Dara","male","CMS100003"
"keo.dara.7d@school.edu","$2a$10$SmzS.9blfgzQrpyCS2.CWO7BdwUhEvFKG.8BnG/Vd/P49RbUuiLau","student","Keo Dara","female","CMS100004"
"phan.dara.7e@school.edu","$2a$10$cD.da2DKqAw9apafJt8sqOMpVchxhbatu.yISWYcyXfEegNwiKIi.","student","Phan Dara","male","CMS100005"
"meas.dara.7f@school.edu","$2a$10$Uxj9G8JsYtQq.NVPt9jfPOjHN6reuuEkSq5QHEdSE4iv2oCVUNLRm","student","Meas Dara","female","CMS100006"
"ouk.dara.7a@school.edu","$2a$10$PXEPDf0IvEQ3eoYZjwrlF.j/BZbqNWKBHyzLof6SKXMwX57hLDTz2","student","Ouk Dara","male","CMS100007"
"chhim.dara.7b@school.edu","$2a$10$eom/s08XDKFlJNjXZ1dRmuAMKJMYLrPP8csoFoYRZ9i13iWLNsCre","student","Chhim Dara","female","CMS100008"
"yin.dara.7c@school.edu","$2a$10$qNklud/wZLkDu8TbVJnJyuWg9FphpYFxoCJd63H8rJfApt8fsw2o2","student","Yin Dara","male","CMS100009"
"touch.dara.7d@school.edu","$2a$10$xQmJ1yoNm0UJC7jNLYaeHeRlAAijTtA2evnUOkjWG0gnGnxKXLXaO","student","Touch Dara","female","CMS100010"
"ngov.dara.7e@school.edu","$2a$10$QCsz/UzzHJiKmJIFEujCPOK4E88u1x4RDi5bsP6XXQ1HlgS7qjXqO","student","Ngov Dara","male","CMS100011"
"suon.dara.7f@school.edu","$2a$10$5B/oHY8JLc1FJ9gUAWalqed3nNiRC9BrbgnbfcqxJt2fqq6/NkhfG","student","Suon Dara","female","CMS100012"
